codigo,municipio,clean,departamento
15325,Guayatá,guayata,15
15332,Güicán De La Sierra,güican_de_la_sierra,15
15362,Iza,iza,15
15367,Jenesano,jenesano,15
15368,Jericó,jerico,15
15377,Labranzagrande,labranzagrande,15
15380,La Capilla,la_capilla,15
15401,La Victoria,la_victoria,15
15403,La Uvita,la_uvita,15
15407,Villa De Leyva,villa_de_leyva,15
15425,Macanal,macanal,15
15442,Maripí,maripi,15
15455,Miraflores,miraflores,15
15464,Mongua,mongua,15
15466,Monguí,mongui,15
15469,Moniquirá,moniquira,15
15476,Motavita,motavita,15
15480,Muzo,muzo,15
15491,Nobsa,nobsa,15
15494,Nuevo Colón,nuevo_colon,15
15500,Oicatá,oicata,15
15507,Otanche,otanche,15
15511,Pachavita,pachavita,15
15514,Páez,paez,15
15516,Paipa,paipa,15
15518,Pajarito,pajarito,15
15522,Panqueba,panqueba,15
15531,Pauna,pauna,15
15533,Paya,paya,15
15537,Paz De Río,paz_de_rio,15
15542,Pesca,pesca,15
15550,Pisba,pisba,15
15572,Puerto Boyacá,puerto_boyaca,15
15580,Quípama,quipama,15
15599,Ramiriquí,ramiriqui,15
15600,Ráquira,raquira,15
15621,Rondón,rondon,15
15632,Saboyá,saboya,15
15638,Sáchica,sachica,15
15646,Samacá,samaca,15
15660,San Eduardo,san_eduardo,15
15664,San José De Pare,san_jose_de_pare,15
15667,San Luis De Gaceno,san_luis_de_gaceno,15
15673,San Mateo,san_mateo,15
15676,San Miguel De Sema,san_miguel_de_sema,15
15681,San Pablo De Borbur,san_pablo_de_borbur,15
15686,Santana,santana,15
15690,Santa María,santa_maria,15
15693,Santa Rosa De Viterbo,santa_rosa_de_viterbo,15
15696,Santa Sofía,santa_sofia,15
15720,Sativanorte,sativanorte,15
15723,Sativasur,sativasur,15
15740,Siachoque,siachoque,15
15753,Soatá,soata,15
15755,Socotá,socota,15
15757,Socha,socha,15
15759,Sogamoso,sogamoso,15
15761,Somondoco,somondoco,15
15762,Sora,sora,15
15763,Sotaquirá,sotaquira,15
15764,Soracá,soraca,15
15774,Susacón,susacon,15
15776,Sutamarchán,sutamarchan,15
15778,Sutatenza,sutatenza,15
15790,Tasco,tasco,15
15798,Tenza,tenza,15
15804,Tibaná,tibana,15
15806,Tibasosa,tibasosa,15
15808,Tinjacá,tinjaca,15
15810,Tipacoque,tipacoque,15
15814,Toca,toca,15
15816,Togüí,togüi,15
15820,Tópaga,topaga,15
15822,Tota,tota,15
15832,Tununguá,tunungua,15
15835,Turmequé,turmeque,15
15837,Tuta,tuta,15
15839,Tutazá,tutaza,15
15842,Úmbita,umbita,15
15861,Ventaquemada,ventaquemada,15
15879,Viracachá,viracacha,15
15897,Zetaquira,zetaquira,15
17001,Manizales,manizales,17
17013,Aguadas,aguadas,17
17042,Anserma,anserma,17
17050,Aranzazu,aranzazu,17
17088,Belalcázar,belalcazar,17
17174,Chinchiná,chinchina,17
17272,Filadelfia,filadelfia,17
17380,La Dorada,la_dorada,17
17388,La Merced,la_merced,17
17433,Manzanares,manzanares,17
17442,Marmato,marmato,17
17444,Marquetalia,marquetalia,17
17446,Marulanda,marulanda,17
17486,Neira,neira,17
