departamento,municipio,altitud,latitud,longitud
"Archipiélago de San Andres, Providencia y Santa Catalina","San Andrés (Archipiélago de San Andrés, Providencia y Santa Catalina)",10.667,12.905,-81.511
Atlantico,Barranquilla,5.6,11.022,-74.803
Atlantico,Campo De La Cruz,4.0,10.377,-74.888
Atlantico,Candelaria (Atlántico),24.5,10.488,-74.889
Atlantico,Juan De Acosta,20.0,10.834,-75.04
Atlantico,Luruaco,20.0,10.439,-75.108
Atlantico,Manatí,12.5,10.455,-75.001
Atlantico,Piojó,80.0,10.722,-75.14
Atlantico,Polonuevo,80.0,10.779,-74.858
Atlantico,Ponedera,5.0,10.508,-74.822
Atlantico,Puerto Colombia (Atlántico),5.0,10.988,-74.97
Atlantico,Repelón,10.25,10.5,-75.123
Atlantico,Sabanalarga (Atlántico),93.333,10.604,-74.964
Atlantico,Santa Lucia,10.4,10.331,-74.976
Atlantico,Soledad,17.0,10.913,-74.773
Atlantico,Suan,8.0,10.282,-74.909
Atlantico,Tubará,200.0,10.955,-74.995
Bogotá,"Bogota, D.C",2621.033,4.603,-74.11
Bolívar,Achí,24.857,8.565,-74.563
Bolívar,Altos Del Rosario,24.0,8.812,-74.165
Bolívar,Arenal,142.0,8.413,-74.012
Bolívar,Arjona,17.0,10.168,-75.323
Bolívar,Arroyohondo,7.0,10.235,-74.969
Bolívar,Barranco De Loba,21.0,8.874,-74.26
Bolívar,Calamar (Bolívar),8.2,10.249,-74.945
Bolívar,Cantagallo,121.75,7.267,-74.038
Bolívar,Cartagena De Indias,4.818,10.305,-75.575
Bolívar,Cicuco,17.667,9.274,-74.689
Bolívar,Córdoba (Bolívar),16.667,9.505,-74.792
Bolívar,El Carmén De Bolívar,51.286,9.847,-75.291
Bolívar,El Guamo,75.0,10.064,-74.852
Bolívar,El Peñón (Bolívar),28.0,8.99,-73.947
Bolívar,Hatillo De Loba,20.0,9.004,-74.406
Bolívar,Magangué,23.417,9.138,-74.719
Bolívar,Mahates,10.889,10.195,-75.21
Bolívar,Margarita,23.0,9.03,-74.209
Bolívar,María La Baja,21.64,9.947,-75.315
Bolívar,Mompós,18.462,9.097,-74.625
Bolívar,Montecristo,107.5,8.258,-74.479
Bolívar,Morales (Bolívar),75.5,8.308,-73.858
Bolívar,Pinillos,20.615,8.897,-74.402
Bolívar,Regidor,35.0,8.666,-73.821
Bolívar,Ríoviejo,78.0,8.545,-73.922
Bolívar,San Fernando,32.5,9.097,-74.361
Bolívar,San Jacinto,75.0,9.879,-75.233
Bolívar,San Jacinto Del Cauca,204.222,8.284,-74.646
Bolívar,San Juan Nepomuceno,72.5,9.948,-75.117
Bolívar,San Martín De Loba,40.0,8.823,-73.966
Bolívar,San Pablo (Bolívar),160.167,7.552,-73.956
Bolívar,Santa Catalina,20.0,10.794,-75.261
Bolívar,Santa Rosa Del Sur,507.5,7.942,-74.138
Bolívar,Simití,65.667,8.009,-73.906
Bolívar,Talaigua Nuevo,15.0,9.383,-74.7
Bolívar,Zambrano,33.0,9.734,-74.872
Boyacá,Almeida,1834.8,4.95,-73.388
Boyacá,Aquitania,1437.278,5.503,-72.884
Boyacá,Arcabuco,2600.0,5.761,-73.444
Boyacá,Belén (Boyacá),2500.0,6.014,-72.806
Boyacá,Berbeo,1370.0,5.184,-73.087
Boyacá,Betéitiva,2575.0,5.907,-72.811
Boyacá,Boavita,1123.333,6.367,-72.607
Boyacá,Buenavista (Boyacá),2200.0,5.515,-73.943
Boyacá,Campohermoso,1335.167,5.025,-73.143
Boyacá,Cerinza,2643.0,5.962,-72.938
Boyacá,Chinavita,1420.667,5.201,-73.354
Boyacá,Chiquinquirá,2593.0,5.583,-73.35
Boyacá,Chiscas,2415.0,6.541,-72.502
Boyacá,Chita,2888.0,6.188,-72.466
Boyacá,Chivatá,2900.0,5.559,-73.282
Boyacá,Chivor,1610.0,4.89,-73.353
Boyacá,Chíquiza,2982.5,5.645,-73.459
Boyacá,Coper,190.0,5.475,-74.046
Boyacá,Corrales,2400.0,5.833,-72.867
Boyacá,Covarachía,2400.0,6.515,-72.733
Boyacá,Cubará,374.0,7.035,-72.153
Boyacá,Cuítiva,737.25,5.585,-72.946
Boyacá,Cómbita,2820.0,5.629,-73.324
Boyacá,Duitama,2694.333,5.834,-73.062
Boyacá,El Cocuy,2969.0,6.397,-72.437
Boyacá,El Espino,3035.0,6.487,-72.476
Boyacá,Firavitoba,2489.0,5.672,-72.984
Boyacá,Gachantivá,2375.0,5.751,-73.549
Boyacá,Garagoa,1604.0,5.067,-73.338
Boyacá,Guayatá,1580.0,4.97,-73.489
Boyacá,Guicán,3643.0,6.47,-72.374
Boyacá,Gámeza,3200.0,5.782,-72.77
Boyacá,Iza,2470.0,5.616,-72.976
Boyacá,Jenesano,1184.0,5.401,-73.364
Boyacá,Jericó (Boyacá),2962.0,6.141,-72.593
Boyacá,La Capilla,1917.0,5.099,-73.436
Boyacá,La Uvita,2950.0,6.248,-72.549
Boyacá,Labranzagrande,1125.0,5.567,-72.584
Boyacá,Macanal,1581.667,4.969,-73.317
Boyacá,Maripí,1390.0,5.55,-74.017
Boyacá,Miraflores (Boyacá),1170.333,5.186,-73.129
Boyacá,Mongua,2900.0,5.758,-72.794
Boyacá,Monguí,1500.0,5.721,-72.849
Boyacá,Moniquirá,1050.8,5.865,-73.571
Boyacá,Motavita,3195.0,5.634,-73.386
Boyacá,Muzo,850.0,5.535,-74.101
Boyacá,Nobsa,2515.0,5.778,-72.917
Boyacá,Nuevo Colón,2438.0,5.353,-73.454
Boyacá,Oicatá,2645.0,5.606,-73.323
Boyacá,Otanche,1100.0,5.662,-74.185
Boyacá,Pachavita,2160.0,5.139,-73.396
Boyacá,Paipa,2508.143,5.795,-73.128
Boyacá,Pajarito,1231.8,5.355,-72.708
Boyacá,Pauna,969.0,5.65,-74.006
Boyacá,Paz De Rio,2495.0,5.992,-72.766
Boyacá,Pesca,2609.333,5.552,-73.058
Boyacá,Pisva,1482.0,5.721,-72.488
Boyacá,Puerto Boyacá,257.25,5.937,-74.539
Boyacá,Páez,1175.0,5.093,-73.046
Boyacá,Quípama,1250.0,5.521,-74.182
Boyacá,Ramiriquí,1604.0,5.402,-73.35
Boyacá,Rondón,2140.0,5.354,-73.21
Boyacá,Ráquira,2290.0,5.539,-73.631
Boyacá,Saboyá,2550.0,5.696,-73.759
Boyacá,Samacá,2820.5,5.463,-73.518
Boyacá,San Luis De Gaceno,400.0,4.82,-73.17
Boyacá,San Mateo,1100.0,6.45,-72.617
Boyacá,San Miguel De Sema,2550.0,5.55,-73.733
Boyacá,San Pablo De Borbur,751.0,5.649,-74.069
Boyacá,Santa María (Boyacá),752.889,4.856,-73.248
Boyacá,Santa Rosa De Viterbo,2595.0,5.843,-72.985
Boyacá,Santa Sofía,2520.0,5.715,-73.63
Boyacá,Santana,1520.0,6.077,-73.469
Boyacá,Sativanorte,2917.0,6.128,-72.738
Boyacá,Siachoque,2720.0,5.506,-73.251
Boyacá,Socha,1845.0,5.98,-72.791
Boyacá,Socotá,2787.0,6.036,-72.599
Boyacá,Sogamoso,2751.0,5.701,-72.916
Boyacá,Somondoco,2280.0,4.957,-73.434
Boyacá,Soracá,2873.0,5.519,-73.311
Boyacá,Sotaquirá,2639.0,5.747,-73.208
Boyacá,Susacón,2550.0,6.232,-72.689
Boyacá,Sutamarchán,2500.0,5.618,-73.613
Boyacá,Sutatenza,1930.0,5.022,-73.449
Boyacá,Sáchica,2560.0,5.588,-73.513
Boyacá,Tasco,2486.0,5.86,-72.785
Boyacá,Tenza,1571.6,5.078,-73.419
Boyacá,Tibaná,2115.0,5.315,-73.396
Boyacá,Tibasosa,2495.0,5.78,-73.001
Boyacá,Toca,2764.0,5.591,-73.185
Boyacá,Tota,32.0,5.492,-72.938
Boyacá,Tunja,2690.0,5.543,-73.361
Boyacá,Turmequé,2400.0,5.318,-73.496
Boyacá,Tuta,2585.333,5.684,-73.236
Boyacá,Tutazá,2816.5,6.067,-72.861
Boyacá,Ventaquemada,3014.0,5.388,-73.583
Boyacá,Villa De Leiva,2176.625,5.654,-73.537
Boyacá,Zetaquirá,1578.0,5.289,-73.17
Boyacá,Úmbita,2300.0,5.219,-73.445
Caldas,Aguadas,1664.75,5.619,-75.478
Caldas,Anserma,853.0,5.234,-75.808
Caldas,Belalcazar,947.0,4.988,-75.859
Caldas,Chinchina,1500.0,5.017,-75.517
Caldas,Filadelfia,801.0,5.28,-75.648
Caldas,La Dorada,197.333,5.449,-74.709
Caldas,Manizales,1715.778,5.056,-75.461
Caldas,Manzanares,1974.0,5.266,-75.144
Caldas,Marmato,650.0,5.467,-75.617
Caldas,Marquetalia,1550.0,5.299,-75.057
Caldas,Marulanda,1700.0,5.278,-75.267
Caldas,Neira,1030.2,5.218,-75.583
Caldas,Norcasia,737.0,5.574,-74.892
Caldas,Palestina (Caldas),899.333,5.106,-75.685
Caldas,Pensilvania,216.0,5.374,-75.149
Caldas,Pácora,1301.0,5.511,-75.511
Caldas,Riosucio (Caldas),1846.5,5.431,-75.712
Caldas,Risaralda,980.0,5.133,-75.717
Caldas,Salamina (Caldas),2388.75,5.386,-75.379
Caldas,Samaná,1553.5,5.476,-75.025
Caldas,Supia,1192.0,5.453,-75.653
Caldas,Victoria,497.25,5.446,-74.852
Caldas,Villamaria,3586.235,4.883,-75.407
Caldas,Viterbo,128.0,5.067,-75.883
Caquetá,Cartagena Del Chairá,200.0,-0.166,-73.097
Caquetá,El Doncello,374.333,1.666,-75.224
Caquetá,Florencia (Caquetá),423.0,1.653,-75.62
Caquetá,San Vicente Del Caguán,485.0,2.088,-74.767
Caquetá,Solano,168.286,-0.254,-73.286
Casanare,Aguazul,294.833,5.144,-72.517
Casanare,Chámeza,180.0,5.204,-72.903
Casanare,Hato Corozal,354.2,6.025,-71.853
Casanare,Mani,180.0,4.561,-72.059
Casanare,Monterrey,598.0,4.936,-72.883
Casanare,Nunchía,308.0,5.575,-72.15
Casanare,Orocué,131.333,4.837,-71.453
Casanare,Paz De Ariporo,264.667,5.759,-71.326
Casanare,Pore,355.0,5.689,-72.021
