geo_id,departamento,municipio,altitud,latitud,longitud
88564,archipiélago-de-san-andrés-providencia-y-santa-catalina,san-andres-y-providencia-santa-isabel,27.875,13.352,-81.379
88001,archipiélago-de-san-andrés-providencia-y-santa-catalina,san-andrés-archipiélago-de-san-andrés-providencia-y-santa-catalina,10.667,12.905,-81.511
08001,atlántico,barranquilla,5.6,11.022,-74.803
08137,atlántico,campo-de-la-cruz,4.0,10.377,-74.888
08141,atlántico,candelaria-atlántico,24.5,10.488,-74.889
08372,atlántico,juan-de-acosta,20.0,10.834,-75.04
08421,atlántico,luruaco,20.0,10.439,-75.108
08436,atlántico,manatí,12.5,10.455,-75.001
08549,atlántico,piojó,80.0,10.722,-75.14
08558,atlántico,polonuevo,80.0,10.779,-74.858
08560,atlántico,ponedera,5.0,10.508,-74.822
08573,atlántico,puerto-colombia-atlántico,5.0,10.988,-74.97
08606,atlántico,repelón,10.25,10.5,-75.123
08638,atlántico,sabanalarga-atlántico,93.333,10.604,-74.964
08675,atlántico,santa-lucia,10.4,10.331,-74.976
08758,atlántico,soledad,17.0,10.913,-74.773
08770,atlántico,suan,8.0,10.282,-74.909
08832,atlántico,tubará,200.0,10.955,-74.995
11001,bogotá-d-c,bogota-d-c,2621.033,4.603,-74.11
13006,bolívar,achí,24.857,8.565,-74.563
13030,bolívar,altos-del-rosario,24.0,8.812,-74.165
13042,bolívar,arenal,142.0,8.413,-74.012
13052,bolívar,arjona,17.0,10.168,-75.323
13062,bolívar,arroyohondo,7.0,10.235,-74.969
13074,bolívar,barranco-de-loba,21.0,8.874,-74.26
13140,bolívar,calamar-bolívar,8.2,10.249,-74.945
13160,bolívar,cantagallo,121.75,7.267,-74.038
13001,bolívar,cartagena-de-indias,4.818,10.305,-75.575
13188,bolívar,cicuco,17.667,9.274,-74.689
13212,bolívar,córdoba-bolívar,16.667,9.505,-74.792
13244,bolívar,el-carmén-de-bolívar,51.286,9.847,-75.291
13248,bolívar,el-guamo,75.0,10.064,-74.852
13268,bolívar,el-peñón-bolívar,28.0,8.99,-73.947
13300,bolívar,hatillo-de-loba,20.0,9.004,-74.406
13430,bolívar,magangué,23.417,9.138,-74.719
13433,bolívar,mahates,10.889,10.195,-75.21
13440,bolívar,margarita,23.0,9.03,-74.209
13442,bolívar,maría-la-baja,21.64,9.947,-75.315
13468,bolívar,mompós,18.462,9.097,-74.625
13458,bolívar,montecristo,107.5,8.258,-74.479
13473,bolívar,morales-bolívar,75.5,8.308,-73.858
13549,bolívar,pinillos,20.615,8.897,-74.402
13580,bolívar,regidor,35.0,8.666,-73.821
13600,bolívar,ríoviejo,78.0,8.545,-73.922
13650,bolívar,san-fernando,32.5,9.097,-74.361
13654,bolívar,san-jacinto,75.0,9.879,-75.233
